"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"1",NA,NA,18591,NA,"ANGPTL8 siRNA (LY3849228)","I/IB","20",NA,1,4,2023-10-09,NA,2024-01-08,NA,2025-09-04,NA,NA,NA,NA,NA,2025-11-03,NA,2026-02-02,NA,NA,NA,"COR","COR","PRX","CT-EXP",NA,"No","Created",NA,NA,NA,NA,NA,NA,NA,"PF Patients with severe hypertriglyceridemia",NA,"LLY3849228",NA,NA,NA,NA,NA,NA,NA
"2",NA,"ONC",16320,"I4T-KL-B004","Ramucirumab","IV","3158","103",1,60,2015-10-01,2015-11-12,2017-01-31,2017-01-12,2021-01-15,NA,NA,NA,NA,NA,2021-04-30,NA,2021-07-14,NA,NA,NA,"EMB","MHL","EMB","PMSNI1","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"KR_Ph IV - Ramucirumab-Gastric & Gastroesophogeal Junction","Not Critical","LLY3009806",NA,"EDC Other","Medi Help Line","Wei Li",NA,"PMS study",NA
"3",NA,"NS",15275,"H8A-MC-LZAZ","Solanezumab","III","1150","34",3,61,2013-09-10,2013-09-08,2014-02-13,2014-02-28,2022-12-29,NA,2022-12-29,NA,2023-03-01,NA,2023-03-31,NA,2023-09-30,NA,NA,NA,"ATR","ATR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2014-01-28,"A4 - Anti-Amyloid Treatment in Asymptomatic AD","Critical","LLY2062430","Jude Joseph Burger","EDC Other","Alzheimer’s Disease Cooperative Study (ADCS)",NA,NA,"A4 study - not longer ADCS - now ATRI is the partner.",NA
"4",NA,"ONC",16230,"I3Y-MC-E004","Abemaciclib","II","24","0",1,1,NA,2017-08-16,2020-06-15,NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,2023-07-01,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Protocol Approved",2017-09-28,NA,NA,NA,NA,NA,NA,"Ph II - Abema - Biliary","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"5",NA,"DIAB",14171,"H9X-MC-GBGC","Dulaglutide","III","150","154",12,70,2016-02-26,2016-02-24,2017-01-09,2016-12-29,2022-01-07,2022-01-12,2021-06-11,2021-06-12,2021-07-02,2021-07-02,2022-02-04,2022-02-07,2022-05-30,2022-05-11,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Pediatric Study 2","Not Critical","LLY2189265","BISHWAPRIYA DEB","InForm/DMW","Lilly LCCI only (Syneos Transition)","Priya Carol Dsilva","Sanjay K, Ahanthem Ranita","Study transitioned from Syneos to Lilly on 22 May 2020. Study is fully supported from LCCI. CDA prior to transition to LCCI was Vidhi Joshi
",NA
"6",NA,"ONC",16191,"I6F-JE-JJCC","Notch Inhibitor II (LY3039478)","I","12","11",1,1,2016-04-28,2016-04-20,2016-09-01,2016-09-09,2023-09-30,NA,2019-07-05,2019-07-05,2019-07-30,2019-07-30,2023-10-31,NA,2023-10-31,NA,2020-06-30,2020-09-16,"JP","ICC","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"JP_FHD - Ph I - Notch Inhib II - Solid Tumors","Not Critical","LLY3039478","Tomoko Maegawa","InForm/DMW","Lilly LCCI only",NA,"Swati Chaturvedi- She also the CDA of this study
Nigam kumar Panda is taking over this study from Swati as CDA","Study transitioned from ICON on execution phase. Transitioned on 1 Nov 2021",NA
"7",NA,"ONC",16185,"I8X-MC-JECA","TGFb RI Kinase Inhibitor II (LY3200882","I/IB","133","139",14,25,2016-06-06,2016-06-09,2016-11-22,2016-11-21,2022-12-30,NA,2020-03-02,2020-02-27,2020-04-10,2020-04-10,2023-01-30,NA,2023-04-30,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"FHD_Ph I/Ib - TGFb Inhib II - Solid Tumors","Critical","LLY3200882","Santosh Kumar Chellur","InForm/DMW","Lilly LCCI only (ICON Transition)","Mehek Gupta","Mehek Gupta,Satya Durga","Jan 2022 Mehek Gupta is current CDA
Sep 2021 - Transitioning from Jennifer Negri to Sahil Chada - full LCCI support
June 2016 - Hetu Gadhia will partner w/ Dana Lane during build.  Hetu will become CDA sometime after FPV. Study has transitioned from ICON to Lilly on trial execution. Transition on 6 Aug 2021",NA
"8",NA,"ONC",16321,"I4X-MC-B002","Necitumumab","IV","1000","5",19,149,2016-11-18,2016-11-10,2019-01-31,2019-03-11,2022-10-18,NA,2022-10-18,NA,2022-11-18,NA,2022-11-18,2021-02-16,2023-02-18,2021-08-05,NA,NA,"QUI","QUI","COR","PMNIEU","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph IV - Necitumumab - sq NSCLC","Not Critical","LLY3012211","Marisa Alamillo","IBM Clinical Development Platform","IQVIA","Veronica Laso",NA,"EU PASS trial",NA
"9",NA,"END",17127,"B3D-US-B029","Forteo","IV","200","0",1,1,NA,2018-06-12,NA,2019-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","NDIS",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Primary Data Collection Site Based Observational Pragmatic S",NA,"LLY333334","Not Supported",NA,NA,NA,NA,NA,NA
"10",NA,"ONC",16161,"I8I-MC-JYAA","Oncology Multi-compound Continued Access","I/IB","1",NA,1,2,2015-08-17,2015-08-20,2016-12-16,2015-12-16,2022-12-19,NA,2022-12-19,NA,NA,NA,2024-05-01,NA,NA,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Single Protocol-cont access to study drug-mult compounds","Not Critical","LLY900016","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (ICON Transition)","Priyam Sarkar",NA,"study transitioned from ICON during trial execution. Transitioned on Dec 3 2021",NA
"11",NA,"ONC",16156,"I4X-MC-E001","Necitumumab","I","30","101",1,3,2015-09-30,2015-10-07,2016-05-31,2016-04-20,2020-12-31,NA,NA,NA,NA,NA,NA,NA,2021-06-30,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph I - Necitumumab + AZD291 - NSCLC","Not Critical","LLY3012211",NA,NA,NA,NA,NA,NA,NA
"12",NA,"ONC",16088,"I8J-MC-JYCA","PDL1+LY Combo (LY3300054)","I","215","160",16,30,2016-02-19,2016-02-18,2016-07-08,2016-06-29,2022-12-06,NA,2020-06-06,2020-05-22,2020-07-14,2020-07-14,2023-01-17,NA,2023-04-17,NA,NA,NA,"COR","NVL","PRO","CT-EXP","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"FHD  -Ph I - PD-L1 Antibody - Dose Escalation","Critical","LLY3300054","Kalyan Kumar Reddy Burla","InForm","Novella","Priyam Sarkar","Allison Rice","CDA Transition from Samantha King to Priyam Sarkar occurred Apr 8, 2021.  Also Manager transition from Laura Davidson to Kalyan Kumar Reddy Burla occurred Apr 8, 2021. DKrey (Oct 12 2017) - SDTM not required to be delivered by novella for this trial.  InForm Version 6.0 - 1/12/2017 cnh. Manager switched to HRivera 01Feb2017; CDA transitioned to Anu T from Shail P on 01Aug2017; CDA transitioned to Yan Zeng from Anu on Oct2017;Transitioned to Chris Helton Nov2017",NA
"13",NA,"ONC",15847,"I5B-MC-JGDQ","Olaratumab","IB","37","41",4,6,2016-10-07,2016-10-07,2017-06-27,2017-07-03,2023-05-26,NA,2021-04-28,2021-05-06,2021-06-23,2021-06-23,2022-06-28,NA,2022-07-28,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph Ib - Olaratumab + PD1(external) - Solid Tumors","Not Critical","LLY3012207","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (Syneos Transition)","Jalpa K Kothari","Aniruddha Ghosh","Study transitioned from Syneos to Lilly on 1 Sep 2020. Andrea was CDA May 2018 when it was transitioned to Carol Bradford.<br>Jennifer Miller assumed CDA responsibility October 2018",NA
"14",NA,"ONC",15844,"I5B-MC-JGDP","Olaratumab","IB/II","206","194",4,50,2016-09-14,2016-09-15,2017-06-01,2017-06-22,2021-11-16,NA,2021-01-31,2021-01-05,2021-03-03,2021-03-01,2021-08-03,2021-07-26,2022-03-30,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Database Finalized",NA,2017-02-02,NA,NA,NA,NA,NA,"Ph Ib/II - Gemcitabine+Nab-paclitaxel +/- Olara - Pancreas","Critical","LLY3012207","Dana Renae Lane","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Kimberly Swinney","Debolina Banerjee, Priyam Sarkar","Study transitioned from Syneos to Lilly on 26 May 2020
Study supported by Lilly LCC and LCCI 
Study transitioned from Reena Ambaliya to Kimberly Swinney - 9 Oct 2020
",NA
"15",NA,"ONC",15839,"I5B-MC-JGDL","Olaratumab","IB/II","310","321",10,50,2015-09-16,2015-09-17,2016-02-10,2016-03-01,2021-09-15,2021-04-27,2020-09-15,2020-07-28,2020-11-09,2020-11-06,2021-09-04,2021-05-28,2021-10-08,2021-10-11,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,2016-01-14,2016-02-03,"Ph Ib/II - Gem+Docetaxel +/- Olaratumab -Soft Tissue Sarcoma","Not Critical","LLY3012207","Kalyan Kumar Reddy Burla","InForm","Novella","Yasha Sharma",NA,"InForm Version 6.0 - cnh 1/12/2017",NA
"16",NA,"ONC",16177,"I3Y-MC-JPCE","Abemaciclib","IB","100","106",7,29,2016-01-22,2016-01-22,2016-11-16,2016-11-14,2023-09-20,NA,2020-02-03,2020-02-03,2020-03-02,2020-03-04,2022-11-26,NA,2022-11-26,NA,NA,NA,"COR","INV","COR","CT-EXP","Corporate","No","Last Pt. Enter Treatment",2017-02-20,NA,NA,NA,NA,NA,2016-05-24,"Ph 1b - Abemaciclib + I/O agent - NSCLC","Critical","LLY2835219","Santosh Kumar Chellur","InForm/DMW","Lilly LCCI only (Syneos Transition)","Ramya","Ramya","Aug 2021 - transitioned from Alisa to Ramya as CDA

Previous comment Study transitioned from Syneos on trial execution. Transition effective 06 Oct 2020. Cheryl Haseman was the CDA on the study from 2017 until Feb 28, 2018.  Deana Jelley had the study from March 1, 2018 until May 31, 2018.  Carol transitioned onto the study beginning June 1, 2018. Alisa took over study Sep 1 2018.",NA
"17",NA,"ONC",15826,"I3Y-MC-E002","Abemaciclib","I","70","73",1,1,2016-05-31,2016-05-31,2017-01-16,2017-01-30,2020-01-15,NA,NA,NA,NA,NA,NA,NA,2020-06-15,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph I - CDK 4/6 Dual Inhib - Glioblastoma (Individual Scrng)","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"18",NA,"ONC",16329,"I3O-MC-JSBF","Merestinib","II","300","306",19,100,2015-12-07,2015-12-09,2016-04-20,2016-05-19,2022-12-31,NA,2018-03-15,2018-02-16,2018-04-15,2018-03-28,2023-02-14,NA,2023-05-15,NA,NA,NA,"COR","ICC","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"R-PhII-Merestinib or Ram + Gem/Cis- Cholangiocaracinoma","Not Critical","LLY2801653","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (ICON Transition)","Jalpa K Kothari","Jalpa Kothari","dkrey - CDA added sept 8. Manager switched to HRivera 01Feb2017; transition from ICON to LCC/LCCI was completed on 12 Nov 2021; transition from Stephanie Matthew to Jalpa Kothari for full LCCI support completed on 16 Dec 2021.
","Y"
"19",NA,"ENSTAR",18190,"H7I-MC-S022","No Lilly Drug","I","35","0",1,1,2020-12-14,2021-01-08,2021-11-15,2021-11-15,2021-12-15,2021-12-15,2021-12-15,2021-12-15,2022-02-15,2022-02-15,2022-02-15,2022-02-15,2022-07-30,NA,NA,NA,"COR","COR","PRX","CT-EXP","Corporate","No","Database Finalized",NA,NA,NA,NA,NA,NA,NA,"EET Project MERLIN-Auto-Injector App HV","Not Critical","LLY9999NL","Christopher N Helton","DaCS","Lilly (LCCP)","Amarjeet Kaur",NA,NA,NA
"20",NA,"DERM",16587,"I4V-MC-JAHN","Baricitinib","III","1660","1648",20,219,2017-07-24,2017-07-25,2018-03-19,2018-03-28,2023-08-07,NA,2021-09-02,2020-09-21,2023-09-04,NA,2023-09-04,NA,2023-11-08,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"AtD Blinded LTE Rollover for JAHL,JAHM","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Vidya Pol","Indroraj Charkraborty
Bharani V
Parimal Hansda","eCOA vendor is Signant Health.  Milagros Gonzalez is ICON PM mgr","Y"
"21",NA,"DERM",16841,"I4V-MC-JAIN","Baricitinib","III","500","463",14,119,2017-11-03,2017-11-09,2018-05-16,2018-05-15,2023-05-02,NA,2019-11-28,2019-11-25,2019-12-20,2019-12-20,2023-07-15,NA,2023-11-29,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"AtD EU Access & Reimbursement Study","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Santosh Srinivasan","Reshma Mane, Swati Indukuru, Sakshi Patni","study transitioned from ICON to Lilly during study execution phase. Transition completed on 31 Aug 2021","Y"
"22",NA,"DERM",16875,"I4V-MC-JAIO","Baricitinib","III","595",NA,20,120,2022-10-31,NA,2023-02-01,NA,2029-08-10,NA,2025-04-09,NA,2025-05-09,NA,2029-09-10,NA,2029-12-10,NA,NA,NA,"CRO","COR","COR","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Pediatric Alopecia Areata trial, ages 6 to <18","Not Critical","LLY3009104","Satish S Muddappanavar",NA,"Project Sourced",NA,NA,NA,"Y"
"23",NA,"MUSC",16157,"I1A-MC-E001","ERbeta (LY500307)","I","54","22",1,1,2015-05-14,2015-05-14,2019-05-31,2019-05-23,2022-12-01,NA,2022-12-01,NA,2023-03-01,NA,2023-03-01,NA,2023-05-01,NA,NA,NA,"COR","COR","PRB","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"EET eXist Women w/a past depression during perimenopause Pts","Not Critical","LLY500307","Not Supported",NA,NA,"Not CP-DS supported",NA,NA,NA
"24",NA,"DERM",16966,"I4V-MC-JAIP","Baricitinib","III","504","532",18,95,2018-08-31,2018-09-06,2019-05-10,2019-05-24,2027-01-15,NA,2022-04-25,2022-04-24,2022-05-24,2022-06-01,2027-02-14,NA,2027-05-15,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2019-05-21,"PK, Effi & Safety adolescent mod-severe atopic derm","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Santosh Srinivasan","Reshma Mane","eCOA vendor is Signant Health. Study transitioned from ICON on Trial execution on March 5th 2021
This study is fully supported from LCCI","Y"
"25",NA,"DERM",16978,"I4V-MC-JAIR","Baricitinib","III","476","606",10,82,2018-10-19,2018-10-26,2019-06-24,2019-07-08,2024-05-27,NA,2021-01-26,2021-01-24,2021-02-19,2021-02-19,2024-06-24,NA,2024-09-22,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph3 LY vs PBO in pts with Alopecia Areata","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Geeta Sawant","Carley Hartings","eCOA vendor is Signant Health.   ICON transition completed on Jan 28th, 2022.","Y"
"26",NA,"ONC",16338,"I3Y-MC-JPCF","Abemaciclib","III","4580","5642",37,600,2017-03-07,2017-03-10,2017-07-17,2017-07-12,2029-06-24,NA,2021-04-12,2020-03-16,2021-05-10,2020-05-20,2027-07-09,NA,2027-10-04,NA,NA,NA,"COR","ICC","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,2017-06-29,NA,"MONARCH E_Ph III - Abemaciclib - Adj High Risk Breast - HR+","Critical","LLY2835219","Laura L Davidson","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Stephanie Matthews","Purabee Dhara and Sanjay Malhotra","Adjudication has been stopped and contract  recently cancelled. 3 events were adjudicated. Kristy Selbe was CDA until September 1, 2018.  Matt Burns took the study over starting Sept 1, 2018. Study transitioned from ICON to Lilly during execution. Transitioned on 2 Aug 2021.  CDA transition from Matt Burns to Stephanie Matthews 29Oct2021.",NA
"27",NA,"DERM",17049,"I4V-MC-JAIW","Baricitinib","III","450","440",4,60,2017-12-12,2017-12-13,2018-02-20,2018-02-20,2021-08-16,2021-08-16,2019-11-28,2019-12-09,2019-12-10,2019-12-17,2021-09-02,2021-09-02,2022-01-24,2022-01-25,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"1, 2 mg trial","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","ICON (Process)","Santosh Srinivasan","Monica Kumar","eCOA vendor is Signant Health
CDA activities are carried our from LCCI and CDM is supported by ICON","Y"
"28",NA,"DERM",17703,"I4V-MC-B025","Baricitinib","IV","200",NA,3,0,2022-03-18,2021-10-20,2022-09-30,NA,2023-09-30,NA,NA,NA,NA,NA,2024-03-29,NA,2024-03-31,NA,NA,NA,"COR","COR","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Survey assessment of risk minimization activities",NA,"LLY3009104","Not Supported",NA,NA,NA,NA,NA,NA
"29",NA,"DERM",17736,"I4V-MC-B026","Baricitinib","NOPHASE","1500","0",6,156,2020-07-31,2020-10-23,2021-12-23,2021-12-16,2025-09-25,NA,NA,NA,2025-10-23,NA,2025-10-23,NA,2025-12-23,NA,NA,NA,"SYE","COR","COR","PMSNI2",NA,"No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Obs prospective study compares Baricitinib-biologic Trmt AD",NA,"LLY3009104","Marisa Alamillo","CISIV Baseline Plus","Syneos (Project)","Marta Herrera, Belen Fernandez",NA,NA,"Y"
"30",NA,"DERM",18070,"J3G-MC-S001","No Lilly Drug","D-FEAS","20","15",1,1,NA,2020-09-02,2021-06-21,2021-06-11,2021-11-30,2021-11-20,NA,NA,NA,NA,2022-05-02,2022-05-02,2022-12-17,NA,NA,NA,"COR","LBS","COR","NDIS","Corporate","No","Database Finalized",NA,NA,NA,NA,NA,NA,NA,"Exploratory nocturnal scratching in atopic dermatitis","Not Critical","LLY9999NL","Not Supported",NA,NA,NA,NA,NA,"N"
"31",NA,"DERM",18078,"I4V-JE-B030","Baricitinib","IV","500","227",1,100,2020-12-28,2021-01-06,2021-04-30,2021-05-10,2024-09-30,NA,NA,NA,NA,NA,2025-02-28,NA,2025-07-02,NA,NA,NA,"JP","JP","JP","PMSNI1","Local","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Non-Interventional Safety study of JP patients with AD","Not Critical","LLY3009104","Yuko Ochiai","Medidata Rave","CIMIC","Hiroto Kawakami",NA,NA,NA
"32",NA,"DERM",18142,"J3G-MC-S002","No Lilly Drug","D-FEAS","30","23",1,1,2020-11-18,2020-11-18,2021-01-15,2021-01-19,2021-04-07,2021-03-31,NA,2021-03-31,2021-05-04,NA,2021-05-04,NA,NA,NA,NA,NA,"COR","COR","COR","NDIS","Corporate","No","Last Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Nocturnal Pruritis Identification Using Passive Data","Not Critical","LLY9999NL","Not Supported",NA,NA,NA,NA,NA,NA
"33",NA,"DERM",18257,"I4V-EW-B032","Baricitinib","IV","1","0",1,1,NA,2019-02-26,2021-03-16,2021-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","PMSNI1",NA,"No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"2019-9084 UK AD Registry (A-STAR)",NA,"LLY3009104","Not Supported",NA,NA,NA,NA,NA,NA
"34",NA,"DERM",17064,"I4V-MC-JAIX","Baricitinib","III","380","372",4,60,2018-02-09,2018-02-08,2018-06-27,2018-06-27,2022-05-27,2022-06-13,2021-11-25,2021-10-14,2022-01-21,2022-01-21,2022-07-01,2022-07-01,2022-10-28,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","Database Finalized",NA,NA,NA,NA,NA,NA,NA,"Open Label Extension","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Rupali Chakraborty","Sachin K, Koushik Gade","eCOA vendor is Signant Health. Transitioned to Lilly on Trial execution. Transitioned on May 20th 2021","Y"
"35",NA,"ONC",15825,"I3Y-MC-E001","Abemaciclib","I","45","46",1,1,2015-07-15,2015-07-14,2016-02-15,2016-02-12,2020-03-13,NA,NA,NA,NA,NA,NA,NA,2020-06-01,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph I - CDK 4/6 Dual Inhib - PEDS","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"36",NA,"DIAB",15364,"H9X-MC-B001","Dulaglutide","IV","0","0",1,1,2015-05-28,2015-05-28,NA,2015-10-05,NA,NA,NA,NA,NA,NA,2031-01-31,NA,2032-03-31,NA,NA,NA,"UBC","COR","COR","PMNIEU","Corporate","No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Medullary Thyroid Carcinoma Surveillance","Not Critical","LLY2189265","Not Supported",NA,"Not Applicable",NA,NA,NA,NA
"37",NA,"ONC",15804,"I3Y-MC-JPBZ","Abemaciclib","II","225","234",14,75,2015-09-24,2015-10-05,2016-05-11,2016-05-23,2023-09-20,NA,2019-03-28,2019-04-08,2019-05-10,2019-05-13,2023-10-20,NA,2023-12-30,NA,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,2015-11-13,NA,NA,NA,2016-05-10,"R-Ph II-Abema+Traz+/-Fulvest vs SOC+Traz - HR+/HER2+ mBC","Not Critical","LLY2835219","Dana Renae Lane","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Vijayta Joshi","Deepthi Krishna Naga (lead), Appalla Lakshmi Priya","Alisa Hayes transitioned onto study December 2018
Transitioned to Lilly in study execution on 31 Jul 2020",NA
"38",NA,"ONC",15417,"I3Y-MC-JPBM","Abemaciclib","III","450","480",20,200,2014-08-29,2014-09-03,2014-10-31,2014-11-06,2023-09-30,NA,2017-11-19,2017-01-31,2017-12-19,2017-04-05,2023-11-06,NA,2024-01-04,NA,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2014-10-30,"Monarch 3_R-PhIII CDK 4/6+Aromatase vs Aromatase-MBC-1st Ln","Critical","LLY2835219","Santosh Kumar Chellur","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Yasha Sharma","Yasha Sharma, Neha Kumari and Athullya VV are the Lilly CDMs.","CDA transition happened from Kimberly Swinney on 16FEB2022. Study transitioned from Syneos to Lilly on 25 June 2020
Andrea Milnder was CDA until April 2016.  Deana Jelley was the CDA from April 2016 to Nov 1 2018.  Sandra Wilson took over the study Nov 2018.  Sandra transitioned the study to Amanda Ribordy in Oct 27 2020.  Study was transitioned from Amanda Ribordy to Kimberly Swinney on 01Nov2021.  Manager change from Laura Davidson to Dana Lane 01Nov2021.",NA
"39",NA,"NS",17054,"I5Q-MC-CGAX","Galcanezumab","III","486","520",3,45,2018-09-28,2018-09-29,2019-07-31,2019-07-30,2022-03-08,2022-03-11,2021-07-30,2021-07-27,2021-08-31,2021-08-30,2022-05-10,NA,2022-08-10,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Last Patient Visit",2018-02-09,NA,NA,NA,NA,NA,NA,"China IMCT","Not Critical","LLY2951742","XIAO DAN QI","InForm/DMW","Lilly LCCI only (ICON Transition)","Di Jiang","Narendravarma Bandaru
Pooja Patil
Avijeet Kumar Moanty","Transitioned from ICON on 23 Dec 2021.","Y"
"40",NA,"ONC",15362,"I3Y-MC-JPBL","Abemaciclib","III","680","510",20,164,2014-04-01,2014-04-01,2014-07-28,2014-07-22,2024-01-30,NA,2017-02-28,2017-02-14,2017-03-21,2017-03-14,2022-09-29,NA,2024-05-31,NA,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,2014-08-15,2014-08-15,"Monarch 2_R-PhIII-CDK 4/6Dual Inh+Fulv vs Fulv+Plcb-MBC","Critical","LLY2835219","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Sahil Chada","Sahil Chadha and Tejas Shah","Kristy Selbe was the CDA from study start until Sept 1 2018. Reena Ambaliya took over the study Aug 15, 2018.
Transitioned to Lilly during Trial execution on 24 Aug 2020.  Bhavna Madduri transitioned the study to Samantha King in Oct 2020.  Study transitioned from Samantha King to Sahil Chadha 10Nov2021.  Also transition Mgr from Laura Davidson to Kalyan Kumar Reddy Burla 10Nov2021.",NA
"41",NA,"ONC",15296,"I3Y-MC-JPBK","Abemaciclib","III","450","421",20,250,2014-05-02,2014-05-13,2014-10-08,2014-10-03,2023-09-20,NA,2017-09-20,2017-09-15,2017-10-20,2017-10-05,2023-10-20,NA,2023-11-20,NA,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,2014-06-04,NA,2014-09-10,"JUNIPER_R-Ph III-CDK 4/6 Dual Inhib vs Erlotinib-NSCLC","Critical","LLY2835219","Santosh Kumar Chellur","InForm/DMW","Lilly LCCI only (Syneos Transition)","Neha Kumari","Jalpa K Kothari","Study transitioned from Syneos to Lilly on 21 May 2020
Study fully supported by Lilly LCCI 
Oncology LCCI  Team Leader is Kalyan Kumar Reddy Burla",NA
