"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"905","Archive","ONC",17076,"I8I-MC-JY04","Oncology Multi-compound Continued Access","II","1","0",1,1,2018-02-28,2018-03-05,2018-09-28,NA,2021-03-31,NA,NA,NA,NA,NA,2021-06-30,NA,2021-12-31,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Protocol Approved",2018-08-29,NA,NA,NA,NA,NA,NA,"Ph II - Pan Raf Continued Access - MPD","Not Critical","LLY900016",NA,NA,"ICON (Process)","Maria S Jackson",NA,NA,NA
"906","Archive","ONC",17026,"I3O-MC-E003","Merestinib","IB","20","2",1,1,2018-07-15,2018-01-11,2018-11-15,2019-02-02,2020-03-30,2019-06-24,NA,NA,NA,NA,NA,NA,2020-09-01,2020-10-01,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph1b - Merestinib - BC with Bone Mets","Not Critical","LLY2801653",NA,NA,NA,NA,NA,NA,NA
"907","Archive","ONC",17003,"H3E-MC-B028","Pemetrexed","IV","50",NA,1,1,2018-12-31,2019-01-18,2019-01-31,NA,2019-07-01,NA,NA,NA,NA,NA,2019-10-01,2019-08-23,2019-11-01,2019-10-25,NA,NA,"COR","COR","COR","PMSNI2",NA,"No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Ph IV-PMS NI Obs Pem+IO - NSCLC",NA,"LLY231514",NA,NA,NA,NA,NA,NA,"N"
"908","Archive","ONC",16989,"I5B-JE-B003","Olaratumab","IV","650",NA,1,1,2020-04-03,NA,2020-05-03,NA,2023-11-03,NA,NA,NA,NA,NA,2024-11-03,NA,2025-05-03,NA,NA,NA,"JP","COR","COR","PMSNI1","Corporate","Yes","Trial Cancelled - Created",2019-03-28,NA,NA,NA,NA,NA,NA,"PMSS for Japan-Olaratumab-Soft Tissue Sarcoma","Not Critical","LLY3012207",NA,NA,NA,NA,NA,NA,"TBD"
"909","Archive","ONC",16957,"I4T-MC-JVDS","Ramucirumab","II","40",NA,1,25,2017-11-15,NA,2018-02-16,NA,2018-07-30,NA,NA,NA,2018-08-30,NA,2018-08-30,NA,2018-10-31,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2017-12-13,NA,NA,NA,NA,NA,NA,"Ph2+Ram+Alt Backbone-1L Gastric Cancer",NA,"LLY3009806","Lynnette Kauffman","InForm/Clintrial (CDR)","Syneos (Process)","Dennis M DiGiusto","Magdalena Krstevska - Network",NA,NA
"910","Archive","ONC",16955,NA,"Abemaciclib","II","500",NA,10,70,2018-10-24,NA,2019-01-23,NA,2021-07-28,NA,NA,NA,NA,NA,2021-08-25,NA,2021-10-27,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2018-06-04,NA,NA,NA,NA,NA,NA,"Ph2-Abema NeoAdj to Adj +/- NSAI (TRIO)-mBC","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"911","Archive","ONC",16954,NA,"Abemaciclib","II","330",NA,12,90,2018-10-24,NA,2019-01-30,NA,2021-07-28,NA,NA,NA,NA,NA,2021-08-25,NA,2021-10-27,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2018-06-04,NA,NA,NA,NA,NA,NA,"Ph2-Abema Right Sequence-mBC (Eric Winer Alliance Foundation","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"912","Archive","ONC",16947,"I5B-MC-JGDV","Olaratumab","III","549",NA,28,135,2019-06-10,NA,2019-10-21,NA,2025-07-27,NA,2023-02-08,NA,2023-02-23,NA,2025-08-11,NA,2026-04-16,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2019-01-28,NA,NA,NA,NA,NA,NA,"Ph3-Olara+Dox+Ifos-Soft Tissue Sarcoma","Critical","LLY3012207","Lynnette Kauffman","InForm/DMW","Syneos (Process)","Dana Renae Lane",NA,NA,"N"
"913","Archive","ONC",16935,"I3Y-JE-B001","Abemaciclib","IV","350","0",1,1,2018-09-30,NA,2019-08-01,NA,2022-07-29,NA,NA,NA,NA,NA,2023-09-29,NA,2023-12-31,NA,NA,NA,"JP","JP","JP","PMSNI1","Corporate","Yes","Trial Cancelled - Created",2018-08-10,NA,NA,NA,NA,NA,NA,"PhIV PMSS-Abemaciclib-Metastatic Breast Cancer","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,"N"
"914","Archive","ONC",16848,"I9L-MC-JZCC","IDO1 Inhibitor (LY3381916)","I","36",NA,1,1,2020-04-20,NA,2020-07-15,NA,2020-11-13,NA,NA,NA,NA,NA,2021-01-20,NA,2021-04-16,NA,NA,NA,"ECP","COR","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2020-03-12,NA,NA,NA,NA,NA,NA,"RBA/Food Effect/ABA","Not Critical","LLY3381916",NA,NA,NA,NA,NA,NA,NA
